Title,Skill,Title,Hot Technology,
Advertising and Promotions Managers,Business analysis software,Analytical or scientific software,N,
Advertising and Promotions Managers,Constant Contact,Customer relationship management CRM software,N,
Advertising and Promotions Managers,Customer relationship management CRM software,Customer relationship management CRM software,N,
Advertising and Promotions Managers,Data visualization software,Analytical or scientific software,N,
Advertising and Promotions Managers,Data warehousing software,Document management software,N,
Advertising and Promotions Managers,Database software,Data base user interface and query software,N,
Advertising and Promotions Managers,Experience in Software Webplanner,Project management software,N,
Advertising and Promotions Managers,Facebook,Web page creation and editing software,Y,
Advertising and Promotions Managers,Google AdWords,Sales and marketing software,Y,
Advertising and Promotions Managers,Google Analytics,Analytical or scientific software,Y,
Advertising and Promotions Managers,Google DoubleClick,Business intelligence and data analysis software,N,
Advertising and Promotions Managers,IBM Lotus Notes,Electronic mail software,N,
Advertising and Promotions Managers,JavaScript,Web platform development software,Y,
Advertising and Promotions Managers,LinkedIn,Web page creation and editing software,Y,
Advertising and Promotions Managers,MarketSharp,Customer relationship management CRM software,N,
Advertising and Promotions Managers,Microsoft Access,Data base user interface and query software,Y,
Advertising and Promotions Managers,Microsoft Dynamics Marketing,Data base user interface and query software,N,
Advertising and Promotions Managers,Microsoft Excel,Spreadsheet software,Y,
Advertising and Promotions Managers,Microsoft Office,Office suite software,Y,
Advertising and Promotions Managers,Microsoft Outlook,Electronic mail software,Y,
Advertising and Promotions Managers,Microsoft PowerPoint,Presentation software,Y,
Advertising and Promotions Managers,Microsoft Publisher,Desktop publishing software,N,
Advertising and Promotions Managers,Microsoft Windows,Operating system software,Y,
Advertising and Promotions Managers,Microsoft Word,Word processing software,Y,
Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,Data base user interface and query software,N,
Advertising and Promotions Managers,Quark,Desktop publishing software,N,
Advertising and Promotions Managers,Relex Weibull,Analytical or scientific software,N,
Advertising and Promotions Managers,Salesforce software,Customer relationship management CRM software,Y,
Advertising and Promotions Managers,Structure query language SQL,Data base user interface and query software,N,
Advertising and Promotions Managers,Tableau,Business intelligence and data analysis software,Y,
Advertising and Promotions Managers,Web browser software,Internet browser software,N,
Advertising and Promotions Managers,Webtrends software,Sales and marketing software,N,
Advertising and Promotions Managers,YouTube,Video creation and editing software,Y,
Green Marketers,Adobe Systems Adobe Acrobat,Document management software,Y,
Green Marketers,Adobe Systems Adobe Creative Suite,Development environment software,N,
Green Marketers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software,Y,
Green Marketers,Adobe Systems Adobe Experience Manager (AEM),Web page creation and editing software,N,
Green Marketers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software,Y,
Green Marketers,Adobe Systems Adobe InDesign,Desktop publishing software,Y,
Green Marketers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software,Y,
Green Marketers,Adobe Systems Adobe Reader,Document management software,N,
Green Marketers,Computer aided software engineering CASE tools,Object or component oriented development software,N,
Green Marketers,Customer relationship management CRM software,Customer relationship management CRM software,N,
Green Marketers,Drupal,Web platform development software,Y,
Green Marketers,Email software,Electronic mail software,N,
Green Marketers,Extensible markup language XML,Enterprise application integration software,Y,
Green Marketers,Facebook,Web page creation and editing software,Y,
Green Marketers,Google AdWords,Sales and marketing software,Y,
Green Marketers,Google Analytics,Analytical or scientific software,Y,
Green Marketers,Hootsuite,Enterprise application integration software,N,
Green Marketers,HubSpot software,Sales and marketing software,N,
Green Marketers,Hypertext markup language HTML,Web platform development software,Y,
Green Marketers,Inventory tracking software,Inventory management software,N,
Green Marketers,JavaScript,Web platform development software,Y,
Green Marketers,LinkedIn,Web page creation and editing software,Y,
Green Marketers,MailChimp,Electronic mail software,N,
Green Marketers,Marketo Marketing Automation,Sales and marketing software,Y,
Green Marketers,Microsoft Access,Data base user interface and query software,Y,
Green Marketers,Microsoft Excel,Spreadsheet software,Y,
Green Marketers,Microsoft Office,Office suite software,Y,
Green Marketers,Microsoft Outlook,Electronic mail software,Y,
Green Marketers,Microsoft PowerPoint,Presentation software,Y,
Green Marketers,Microsoft Project,Project management software,Y,
Green Marketers,Microsoft Publisher,Desktop publishing software,N,
Green Marketers,Microsoft SharePoint,Project management software,Y,
Green Marketers,Microsoft SQL Server,Data base management system software,Y,
Green Marketers,Microsoft Word,Word processing software,Y,
Green Marketers,Oracle Eloqua,Customer relationship management CRM software,N,
Green Marketers,Pinterest,Information retrieval or search software,N,
Green Marketers,Salesforce software,Customer relationship management CRM software,Y,
Green Marketers,SAP,Enterprise resource planning ERP software,Y,
Green Marketers,Scheduling software,Calendar and scheduling software,N,
Green Marketers,Social media software,Web page creation and editing software,N,
Green Marketers,Software development tools,Development environment software,N,
Green Marketers,Structure query language SQL,Data base user interface and query software,N,
Green Marketers,Twitter,Instant messaging software,N,
Green Marketers,Vimeo,Video creation and editing software,N,
Green Marketers,Web browser software,Internet browser software,N,
Green Marketers,WebTrends Analytics,Analytical or scientific software,N,
Green Marketers,Webtrends software,Sales and marketing software,N,
Green Marketers,WordPress,Web page creation and editing software,N,
Green Marketers,YouTube,Video creation and editing software,Y,
Marketing Managers,Adobe Systems Adobe Acrobat,Document management software,Y,
Marketing Managers,Adobe Systems Adobe ActionScript,Development environment software,N,
Marketing Managers,Adobe Systems Adobe AfterEffects,Video creation and editing software,Y,
Marketing Managers,Adobe Systems Adobe Creative Cloud,Graphics or photo imaging software,Y,
Marketing Managers,Adobe Systems Adobe Dreamweaver,Web page creation and editing software,Y,
Marketing Managers,Adobe Systems Adobe Fireworks,Graphics or photo imaging software,N,
Marketing Managers,Adobe Systems Adobe Flash,Graphics or photo imaging software,N,
Marketing Managers,Adobe Systems Adobe Illustrator,Graphics or photo imaging software,Y,
Marketing Managers,Adobe Systems Adobe InDesign,Desktop publishing software,Y,
Marketing Managers,Adobe Systems Adobe Photoshop,Graphics or photo imaging software,Y,
Marketing Managers,Adobe Systems Adobe Reader,Document management software,N,
Marketing Managers,AdSense Tracker,Data base user interface and query software,N,
Marketing Managers,AEC Software FastTrack,Data base user interface and query software,N,
Marketing Managers,Apache Cassandra,Data base management system software,Y,
Marketing Managers,Apache Hadoop,Data base management system software,Y,
Marketing Managers,Apache Hive,Data base management system software,Y,
Marketing Managers,Apache Pig,Data base management system software,Y,
Marketing Managers,Apache Solr,Data base management system software,Y,
Marketing Managers,Apple Final Cut Pro,Video creation and editing software,N,
Marketing Managers,Apple macOS,Operating system software,Y,
Marketing Managers,Armand Morin MultiTrack Generator,Transaction server software,N,
Marketing Managers,Atlassian JIRA,Content workflow software,Y,
Marketing Managers,AWS Redshift,Data base user interface and query software,Y,
Marketing Managers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,Y,
Marketing Managers,C,Development environment software,Y,
Marketing Managers,Cascading Style Sheets CSS,Web platform development software,Y,
Marketing Managers,Citrix,Access software,Y,
Marketing Managers,ClearEDGE,Data base user interface and query software,N,
Marketing Managers,Confluence,Project management software,Y,
Marketing Managers,Constant Contact,Customer relationship management CRM software,N,
Marketing Managers,Data entry software,Data base user interface and query software,Y,
Marketing Managers,Database reporting software,Data base reporting software,N,
Marketing Managers,Databox,Data base user interface and query software,N,
Marketing Managers,Delphi Technology,Financial analysis software,Y,
Marketing Managers,Drupal,Web platform development software,Y,
Marketing Managers,Dynamic hypertext markup language DHTML,Web platform development software,N,
Marketing Managers,Elasticsearch,Data base management system software,Y,
Marketing Managers,Extensible HyperText Markup Language XHTML,Web platform development software,N,
Marketing Managers,Extensible markup language XML,Enterprise application integration software,Y,
Marketing Managers,Facebook,Web page creation and editing software,Y,
Marketing Managers,FileMaker Pro,Data base user interface and query software,N,
Marketing Managers,Fund accounting software,Accounting software,Y,
Marketing Managers,GitHub,Application server software,Y,
Marketing Managers,Google AdWords,Sales and marketing software,Y,
Marketing Managers,Google Analytics,Data mining software,Y,
Marketing Managers,Google Docs,Word processing software,Y,
Marketing Managers,Google Drive,Office suite software,Y,
Marketing Managers,Hypertext markup language HTML,Web platform development software,Y,
Marketing Managers,IBM Cognos Impromptu,Business intelligence and data analysis software,Y,
Marketing Managers,IBM Domino,Communications server software,N,
Marketing Managers,IBM InfoSphere DataStage,Enterprise application integration software,Y,
Marketing Managers,IBM Notes,Electronic mail software,Y,
Marketing Managers,IBM Power Systems software,Enterprise system management software,N,
Marketing Managers,IBM SPSS Statistics,Analytical or scientific software,Y,
Marketing Managers,Intuit QuickBooks,Accounting software,Y,
Marketing Managers,JavaScript,Web platform development software,Y,
Marketing Managers,LAMP Stack,Web platform development software,N,
Marketing Managers,LexisNexis,Information retrieval or search software,N,
Marketing Managers,LinkedIn,Web page creation and editing software,Y,
Marketing Managers,Lyris HQ Web-Analytics Solution,Analytical or scientific software,N,
Marketing Managers,Marketo Marketing Automation,Sales and marketing software,Y,
